GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Payment Integration Platform,com.pip,PipApplication,8,0,0,0,3,0,2,0,2,0
Payment Integration Platform,com.pip.audit,SecurityAuditLogger,873,0,12,0,208,0,41,0,35,0
Payment Integration Platform,com.pip.gateway,MastercardAdapter,545,0,30,0,118,0,28,0,13,0
Payment Integration Platform,com.pip.gateway,VisaAdapter,605,0,24,0,134,0,28,0,16,0
Payment Integration Platform,com.pip.gateway,MercadoPagoAdapter,797,0,80,0,168,0,55,0,15,0
Payment Integration Platform,com.pip.gateway,BoletoAdapter,545,0,30,0,118,0,28,0,13,0
Payment Integration Platform,com.pip.gateway,RedeAdapter,898,0,66,0,193,0,49,0,16,0
Payment Integration Platform,com.pip.gateway,CieloAdapter,958,0,88,0,196,0,60,0,16,0
Payment Integration Platform,com.pip.gateway,GatewayAdapterFactory,0,104,1,11,0,24,1,11,0,6
Payment Integration Platform,com.pip.gateway,StoneAdapter,868,0,66,0,175,0,50,0,16,0
Payment Integration Platform,com.pip.gateway,PixAdapter,545,0,30,0,118,0,28,0,13,0
Payment Integration Platform,com.pip.gateway,PagSeguroAdapter,852,0,76,0,173,0,53,0,15,0
Payment Integration Platform,com.pip.messaging,WebhookConsumer,182,0,8,0,44,0,11,0,7,0
Payment Integration Platform,com.pip.messaging,WebhookProducer,72,0,0,0,19,0,5,0,5,0
Payment Integration Platform,com.pip.interceptor,RateLimitInterceptor,181,0,14,0,37,0,10,0,3,0
Payment Integration Platform,com.pip.service,GatewayIntegrationService,582,0,10,0,139,0,19,0,14,0
Payment Integration Platform,com.pip.service,LGPDComplianceService.PersonalDataType,63,0,0,0,11,0,1,0,1,0
Payment Integration Platform,com.pip.service,LGPDComplianceService,238,0,12,0,55,0,19,0,11,0
Payment Integration Platform,com.pip.service,InstallmentService.InstallmentOption,45,0,0,0,13,0,13,0,13,0
Payment Integration Platform,com.pip.service,WebhookScheduler,269,0,16,0,82,0,16,0,8,0
Payment Integration Platform,com.pip.service,InstallmentService,339,0,34,0,63,0,23,0,6,0
Payment Integration Platform,com.pip.service,GatewayHealthCheckService,61,0,0,0,23,0,5,0,5,0
Payment Integration Platform,com.pip.service,AntiFraudService.AntiFraudResult,45,0,0,0,13,0,13,0,13,0
Payment Integration Platform,com.pip.service,PagamentoService,690,0,28,0,144,0,29,0,15,0
Payment Integration Platform,com.pip.service,WebhookService,310,393,19,17,73,89,20,10,5,7
Payment Integration Platform,com.pip.service,RateLimitService,76,108,8,11,25,23,9,9,2,5
Payment Integration Platform,com.pip.service,MarketplaceService,376,0,22,0,73,0,18,0,7,0
Payment Integration Platform,com.pip.service,MockGatewayService,177,0,10,0,42,0,13,0,8,0
Payment Integration Platform,com.pip.service,AuditLogService.AuditAction,87,0,0,0,15,0,1,0,1,0
Payment Integration Platform,com.pip.service,SplitPaymentService,413,0,40,0,76,0,28,0,8,0
Payment Integration Platform,com.pip.service,GatewayRoutingService,153,561,19,25,32,117,17,25,1,19
Payment Integration Platform,com.pip.service,AuditLogService,175,0,0,0,41,0,9,0,9,0
Payment Integration Platform,com.pip.service,AntiFraudService,213,0,38,0,58,0,25,0,6,0
Payment Integration Platform,com.pip.controller,WebhookController,568,0,20,0,125,0,24,0,14,0
Payment Integration Platform,com.pip.controller,PixWebhookController,167,0,6,0,40,0,8,0,4,0
Payment Integration Platform,com.pip.controller,CieloWebhookController,136,0,8,0,40,0,10,0,4,0
Payment Integration Platform,com.pip.controller,PagSeguroWebhookController,232,0,16,0,59,0,15,0,6,0
Payment Integration Platform,com.pip.controller,PagamentoController,366,0,6,0,86,0,16,0,13,0
Payment Integration Platform,com.pip.controller,MercadoPagoWebhookController,154,0,9,0,39,0,10,0,4,0
Payment Integration Platform,com.pip.controller,BoletoWebhookController,160,0,7,0,40,0,9,0,4,0
Payment Integration Platform,com.pip.controller,MastercardWebhookController,142,0,7,0,38,0,9,0,4,0
Payment Integration Platform,com.pip.controller,StoneWebhookController,209,0,15,0,59,0,14,0,5,0
Payment Integration Platform,com.pip.controller,VisaWebhookController,196,0,14,0,54,0,13,0,5,0
Payment Integration Platform,com.pip.controller,RedeWebhookController,130,0,7,0,36,0,9,0,4,0
Payment Integration Platform,com.pip.dto,SplitRequest,24,0,0,0,7,0,7,0,7,0
Payment Integration Platform,com.pip.dto,DetokenizationResponse.DetokenizationResponseBuilder,41,0,0,0,13,0,7,0,7,0
Payment Integration Platform,com.pip.dto,ApiKeyInfo,71,0,0,0,31,0,18,0,18,0
Payment Integration Platform,com.pip.dto,PaymentResponse,101,0,0,0,43,0,29,0,29,0
Payment Integration Platform,com.pip.dto,DetokenizationResponse,60,0,0,0,24,0,13,0,13,0
Payment Integration Platform,com.pip.dto,VoidRequest,39,0,0,0,15,0,9,0,9,0
Payment Integration Platform,com.pip.dto,GatewayResponse,67,0,0,0,28,0,16,0,16,0
Payment Integration Platform,com.pip.dto,AuthorizationRequest,202,0,6,0,70,0,46,0,43,0
Payment Integration Platform,com.pip.dto,Customer,43,0,0,0,19,0,10,0,10,0
